Bnb,MEANenv,Venv,SDenv,Essentiality,GlobalEssentiality,RMenv,SSenv,DMenv
b2912,6.07513575004222,1.4853935332823407,1.218767218660865,Nonessential,Nonessential,0.799348446920581,0.7317485422973965,0.4870186763634684
b2673,6.07652916167274,6.196914805354351,2.4893603205149613,Nonessential,Nonessential,0.7359339937738394,0.7316542374633286,1.7577060830516327
b1112,6.0815678995467595,3.0855092745090724,1.756561776456801,Nonessential,Nonessential,0.799348446920581,0.7313153354823428,1.025246440974458
b1056,6.083173054422794,1.1490721158383668,1.071947813952884,Nonessential,Nonessential,0.799348446920581,0.7312080706448614,0.3407397433080226
b0867,6.084420416984346,0.4121358724610798,0.6419780934432886,Nonessential,Nonessential,0.799348446920581,0.7311249480698652,-0.08914685462657657
b0401,6.08443936037064,0.928866587360748,0.9637772498667667,Nonessential,Nonessential,0.8223341078450055,0.7311236872773845,0.2326535625893822
b3625,6.0858089127076545,0.69095152853206,0.8312349418377815,Nonessential,Nonessential,0.8223341078450055,0.7310326600689369,0.1002022817688446
b1541,6.086382863687624,5.005628902435651,2.237326284303577,Nonessential,Nonessential,0.8223341078450055,0.7309945854807588,1.5063316988228181
b0662,6.088496264836841,0.4010494712042948,0.6332846683793117,Nonessential,Nonessential,0.8312349418377815,0.7308547593251864,-0.09757009094587465
b1598,6.088723804733883,0.778945616304869,0.8825789575470678,Nonessential,Nonessential,0.8515668894601434,0.7308397398086223,0.15173921773844556
b1682,6.09266307873766,2.548076644541986,1.5962696027118934,Nonessential,Nonessential,0.8312349418377815,0.7305807915924261,0.8656888111194674
b0713,6.092967631844553,0.3670990367317022,0.6058869834644924,Nonessential,Nonessential,0.8223341078450055,0.7305608566033922,-0.12467387313889977
b3617,6.093682997090912,1.9171909852646232,1.3846266591629035,Nonessential,Nonessential,0.8223341078450055,0.7305140791868682,0.6541125799760353
b0835,6.0963713406346995,1.1503188634093309,1.0725291900033913,Nonessential,Nonessential,0.8312349418377815,0.7303388907289836,0.3421902992744077
b1929,6.1019275166675895,1.8930910794957274,1.375896463944772,Nonessential,Nonessential,0.8312349418377815,0.7299798301726729,0.6459166337720991
b1124,6.102527365998238,0.8119163425931167,0.9010640058248452,Nonessential,Nonessential,0.8515668894601434,0.7299413088613858,0.1711226969634595
b0192,6.105973971519821,0.24676721737715404,0.49675669837170194,Nonessential,Nonessential,0.8515668894601434,0.7297208932038244,-0.23296419483212244
b4352,6.110385925077786,0.638957939594345,0.799348446920581,Nonessential,Nonessential,0.8312349418377815,0.7294410305960919,0.06990741632448916
b3626,6.111167297087247,1.0670594800094115,1.03298571142558,Nonessential,Nonessential,0.8312349418377815,0.7293917341236669,0.3035939773019132
b4551,6.111215044621638,0.34360159924888306,0.5861753997302199,Nonessential,Nonessential,0.8312349418377815,0.7293887243671145,-0.14321332463689462
b1266,6.116884711212183,0.12874646161634043,0.35881257170888037,Nonessential,Nonessential,0.8312349418377815,0.7290334833797374,-0.370220911670857
b1874,6.117084489713706,0.356177792871726,0.5968063277745352,Nonessential,Nonessential,0.8312349418377815,0.7290210436391783,-0.13221471586464306
b0571,6.11974252908403,1.4644573707199997,1.2101476648409482,Nonessential,Nonessential,0.8055797825558006,0.7288560382001089,0.48129162664083924
