TU,Prom_TU,Genes_TU,Bnb_TU,ECKnb_TU,Ess_ECKnb_TU,Ess_Gene_TU,Bnb_Promlib,Gene_Promlib
mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZp,ftsO;lpxC;ftsZ;ftsA;ftsQ;ddlB;murC;murG;ftsW;murD;mraY;murF;murE;ftsI;ftsL;rsmH;mraZ,b4810;b0096;b0095;b0094;b0093;b0092;b0091;b0090;b0089;b0088;b0087;b0086;b0085;b0084;b0083;b0082;b0081,ECK4667;ECK0097;ECK0096;ECK0095;ECK0094;ECK0093;ECK0092;ECK0091;ECK0090;ECK0089;ECK0088;ECK0087;ECK0086;ECK0085;ECK0084;ECK0083;ECK0082,ECK0097;ECK0096;ECK0095;ECK0094;ECK0092;ECK0091;ECK0090;ECK0089;ECK0088;ECK0087;ECK0086;ECK0085;ECK0084,murE;ftsI;lpxC;murF;ftsL;ftsQ;ftsA;ftsZ;ftsW;murC;mraY;murG;murD,b0096;b0091,lpxC;murC
mreBCD,mreBp2,mreD;mreC;mreB,b3249;b3250;b3251,ECK3237;ECK3238;ECK3239,ECK3237;ECK3238;ECK3239,mreC;mreD;mreB,b3250,mreC
mreBCD,mreBp3,mreD;mreC;mreB,b3249;b3250;b3251,ECK3237;ECK3238;ECK3239,ECK3237;ECK3238;ECK3239,mreC;mreD;mreB,b3250,mreC
mreBCD,mreBp1,mreD;mreC;mreB,b3249;b3250;b3251,ECK3237;ECK3238;ECK3239,ECK3237;ECK3238;ECK3239,mreC;mreD;mreB,b3250,mreC
mreCD,mreCp,mreD;mreC,b3249;b3250,ECK3237;ECK3238,ECK3237;ECK3238,mreC;mreD,b3250,mreC
murA,NA,murA,b3189,ECK3178,ECK3178,murA,b3189,murA
murB-birA,NA,birA;murB,b3973;b3972,ECK3965;ECK3964,ECK3965;ECK3964,birA;murB,b3972,murB
murJ,NA,murJ,b1069,ECK1054,ECK1054,murJ,b1069,murJ
nadE,nadEp,nadE,b1740,ECK1738,ECK1738,nadE,b1740,nadE
nadK,NA,nadK,b2615,ECK2611,ECK2611,nadK,b2615,nadK
nrdAB-yfaE,nrdAp,yfaE;nrdA;nrdB,b2236;b2234;b2235,ECK2228;ECK2226;ECK2227,ECK2226;ECK2227,nrdA;nrdB,b2235,nrdB
nrdR-ribDE-nusB-thiL-pgpA,nrdRp,pgpA;thiL;nusB;ribE;ribD;nrdR,b0418;b0417;b0416;b0415;b0414;b0413,ECK0412;ECK0411;ECK0410;ECK0409;ECK0408;ECK0407,ECK0411;ECK0409;ECK0408,ribE;ribD;thiL,b0417;b0415;b0413,ribE;nrdR;thiL
nudF-yqiB-cpdA-yqiA-parE,NA,nudF;yqiB;cpdA;yqiA;parE,b3034;b3033;b3032;b3031;b3030,ECK3025;ECK3024;ECK3023;ECK3022;ECK3021,ECK3021,parE,b3034;b3032,nudF;cpdA
pabC-mltG-tmk-holB-ycfH,NA,ycfH;holB;tmk;mltG;pabC,b1100;b1099;b1098;b1097;b1096,ECK1086;ECK1085;ECK1084;ECK1083;ECK1082,ECK1085;ECK1084,tmk;holB,b1096,pabC
pdxH-tyrS-pdxY,pdxHp,pdxY;tyrS;pdxH,b1636;b1637;b1638,ECK1632;ECK1633;ECK1634,ECK1633,tyrS,b1636;b1637;b1638,pdxH;tyrS;pdxY
pepQ-yigZ-trkH-hemG,pepQp,hemG;trkH;yigZ;pepQ,b3850;b3849;b3848;b3847,ECK3842;ECK3841;ECK3840;ECK3839,ECK3842,hemG,b3850;b3847,hemG;pepQ
pgk,pgkp2,pgk,b2926,ECK2922,ECK2922,pgk,b2926,pgk
pgk,pgkp3,pgk,b2926,ECK2922,ECK2922,pgk,b2926,pgk
pgk,pgkp1,pgk,b2926,ECK2922,ECK2922,pgk,b2926,pgk
pgk-fbaA,pgkp1,fbaA;pgk,b2925;b2926,ECK2921;ECK2922,ECK2921;ECK2922,pgk;fbaA,b2926,pgk
pgk-fbaA,pgkp3,fbaA;pgk,b2925;b2926,ECK2921;ECK2922,ECK2921;ECK2922,pgk;fbaA,b2926,pgk
pgk-fbaA,pgkp2,fbaA;pgk,b2925;b2926,ECK2921;ECK2922,ECK2921;ECK2922,pgk;fbaA,b2926,pgk
pheMST-ihfA,pheMp,ihfA;pheM;pheT;pheS,b1712;b1715;b1713;b1714,ECK1710;ECK1713;ECK1711;ECK1712,ECK1711;ECK1712,pheS;pheT,b1715;b1714,pheM;pheS
plsB,plsBp2,plsB,b4041,ECK4033,ECK4033,plsB,b4041,plsB
plsB,plsBp1,plsB,b4041,ECK4033,ECK4033,plsB,b4041,plsB
plsC,NA,plsC,b3018,ECK3009,ECK3009,plsC,b3018,plsC
plsX-fabHDG,plsXp,fabG;fabD;fabH;plsX,b1093;b1092;b1091;b1090,ECK1079;ECK1078;ECK1077;ECK1076,ECK1079;ECK1078,fabD;fabG,b1090,plsX
ppA,ppap,ppa,b4226,ECK4222,ECK4222,ppa,b4226,ppa
ppiB-lpxH,NA,ppiB;lpxH,b0525;b0524,ECK0518;ECK0517,ECK0517,lpxH,b0525,ppiB
proS,proSp,proS,b0194,ECK0194,ECK0194,proS,b0194,proS
psd-mscM,psdp,mscM;psd,b4159;b4160,ECK4155;ECK4156,ECK4156,psd,b4160,psd
pth-ychF,pthp,ychF;pth,b1203;b1204,ECK1191;ECK1192,ECK1192,pth,b1203;b1204,pth;ychF
pyrG-eno,pyrGp1,eno;pyrG,b2779;b2780,ECK2773;ECK2774,ECK2773;ECK2774,pyrG;eno,b2779;b2780,pyrG;eno
pyrG-eno,pyrGp,eno;pyrG,b2779;b2780,ECK2773;ECK2774,ECK2773;ECK2774,pyrG;eno,b2779;b2780,pyrG;eno
pyrG-eno,pyrGp2,eno;pyrG,b2779;b2780,ECK2773;ECK2774,ECK2773;ECK2774,pyrG;eno,b2779;b2780,pyrG;eno
pyrH,pyrHp,pyrH,b0171,ECK0170,ECK0170,pyrH,b0171,pyrH
ribA,ribAp2,ribA,b1277,ECK1272,ECK1272,ribA,b1277,ribA
ribA,ribAp1,ribA,b1277,ECK1272,ECK1272,ribA,b1277,ribA
ribE-nusB-thiL-pgpA,ribEp,pgpA;thiL;nusB;ribE,b0418;b0417;b0416;b0415,ECK0412;ECK0411;ECK0410;ECK0409,ECK0411;ECK0409,ribE;thiL,b0417;b0415,ribE;thiL
ribF-ileS-lspA-fkpB-ispH,ribFp,ribF;ileS;lspA;fkpB;ispH,b0025;b0026;b0027;b0028;b0029,ECK0026;ECK0027;ECK0028;ECK0029;ECK0030,ECK0026;ECK0028;ECK0030,ribF;lspA;ispH,b0028,fkpB
rimP-nusA-infB,rimPp,rimP;infB;nusA,b3170;b3168;b3169,ECK3159;ECK3157;ECK3158,ECK3157;ECK3158,infB;nusA,b3170,rimP
rlmE-ftsH,rlmEp1,ftsH;rlmE,b3178;b3179,ECK3167;ECK3168,ECK3167,ftsH,b3178;b3179,ftsH;rlmE
rlmE-ftsH,rlmEp2,ftsH;rlmE,b3178;b3179,ECK3167;ECK3168,ECK3167,ftsH,b3178;b3179,ftsH;rlmE
rpe-gph-trpS,rpep,trpS;gph;rpe,b3384;b3385;b3386,ECK3371;ECK3372;ECK3373,ECK3371,trpS,b3386,rpe
rplJL-rpoBC,rplJp,rplJ;rplL;rpoB;rpoC,b3985;b3986;b3987;b3988,ECK3976;ECK3977;ECK3978;ECK3979,ECK3976;ECK3977;ECK3978;ECK3979,rplL;rplJ;rpoB;rpoC,b3986,rplL
rplKAJL-rpoBC,rplKp,rpoC;rpoB;rplL;rplJ;rplA;rplK,b3988;b3987;b3986;b3985;b3984;b3983,ECK3979;ECK3978;ECK3977;ECK3976;ECK3975;ECK3974,ECK3979;ECK3978;ECK3977;ECK3976,rplL;rplJ;rpoB;rpoC,b3986,rplL
rplL,rplLp,rplL,b3986,ECK3977,ECK3977,rplL,b3986,rplL
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,rplNp,rpmJ;secY;rplO;rpmD;rpsE;rplR;rplF;rpsH;rpsN;rplE;rplX;rplN,b3299;b3300;b3301;b3302;b3303;b3304;b3305;b3306;b3307;b3308;b3309;b3310,ECK3286;ECK3287;ECK3288;ECK3289;ECK3290;ECK3291;ECK3292;ECK3293;ECK3294;ECK3295;ECK3296;ECK3297,ECK3287;ECK3288;ECK3289;ECK3290;ECK3291;ECK3292;ECK3293;ECK3294;ECK3295;ECK3296;ECK3297,rplO;rpsN;rpsH;rplX;rplE;rpsE;rplN;rpmD;rplF;rplR;secY,b3310,rplN
rplT,rplTp,rplT,b1716,ECK1714,ECK1714,rplT,b1716,rplT
rplT-pheM,rplTp,pheM;rplT,b1715;b1716,ECK1713;ECK1714,ECK1714,rplT,b1715;b1716,rplT;pheM
rplU-rpmA-yhbE-obgE,rplUp,obgE;yhbE;rpmA;rplU,b3183;b3184;b3185;b3186,ECK3172;ECK3173;ECK3174;ECK3175,ECK3172;ECK3174;ECK3175,rpmA;rplU;obgE,b3184,yhbE
rpmBG,rpmBp,rpmG;rpmB,b3636;b3637,ECK3626;ECK3627,ECK3627,rpmB,b3637,rpmB
rpmBG-mutM,rpmBp,mutM;rpmG;rpmB,b3635;b3636;b3637,ECK3625;ECK3626;ECK3627,ECK3627,rpmB,b3635;b3637,rpmB;mutM
rpmF-plsX-fabHDG,rpmFp,fabG;fabD;fabH;plsX;rpmF,b1093;b1092;b1091;b1090;b1089,ECK1079;ECK1078;ECK1077;ECK1076;ECK1075,ECK1079;ECK1078,fabD;fabG,b1090,plsX
rpmH-rnpA,rpmHp2,rnpA;rpmH,b3704;b3703,ECK3696;ECK3695,ECK3696;ECK3695,rpmH;rnpA,b3703,rpmH
rpmH-rnpA,rpmHp3,rnpA;rpmH,b3704;b3703,ECK3696;ECK3695,ECK3696;ECK3695,rpmH;rnpA,b3703,rpmH
rpmH-rnpA,rpmHp1,rpmH;rnpA,b3703;b3704,ECK3695;ECK3696,ECK3695;ECK3696,rpmH;rnpA,b3703,rpmH
rpmI-rplT,rpmIp,rplT;rpmI,b1716;b1717,ECK1714;ECK1715,ECK1714,rplT,b1716;b1717,rpmI;rplT
rpoH,rpoHp3,rpoH,b3461,ECK3445,ECK3445,rpoH,b3461,rpoH
rpoH,rpoHp4,rpoH,b3461,ECK3445,ECK3445,rpoH,b3461,rpoH
rpoH,rpoHp6,rpoH,b3461,ECK3445,ECK3445,rpoH,b3461,rpoH
rpoH,rpoHp1,rpoH,b3461,ECK3445,ECK3445,rpoH,b3461,rpoH
rpoH,rpoHp5,rpoH,b3461,ECK3445,ECK3445,rpoH,b3461,rpoH
rpoH,rpoHp2,rpoH,b3461,ECK3445,ECK3445,rpoH,b3461,rpoH
rpsA-ihfB,rpsAp1,ihfB;rpsA,b0912;b0911,ECK0903;ECK0902,ECK0902,rpsA,b0911,rpsA
rpsA-ihfB,rpsAp3,ihfB;rpsA,b0912;b0911,ECK0903;ECK0902,ECK0902,rpsA,b0911,rpsA
rpsB-tsf,rpsBp,tff;rpsB;tsf,b4414;b0169;b0170,ECK0167;ECK0168;ECK0169,ECK0168;ECK0169,tsf;rpsB,b0169;b0170,tsf;rpsB
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,rpsJp,rpsQ;rpmC;rplP;rpsC;rplV;rpsS;rplB;rplW;rplD;rplC;rpsJ,b3311;b3312;b3313;b3314;b3315;b3316;b3317;b3318;b3319;b3320;b3321,ECK3298;ECK3299;ECK3300;ECK3301;ECK3302;ECK3303;ECK3304;ECK3305;ECK3306;ECK3307;ECK3308,ECK3298;ECK3299;ECK3300;ECK3301;ECK3302;ECK3303;ECK3304;ECK3305;ECK3306;ECK3307;ECK3308,rpsJ;rplW;rplD;rpsQ;rplP;rpmC;rplB;rplV;rplC;rpsS;rpsC,b3321,rpsJ
rpsLG-fusA-tufA,rpsLp,tufA;fusA;rpsG;rpsL,b3339;b3340;b3341;b3342,ECK3326;ECK3327;ECK3328;ECK3329,ECK3327;ECK3328;ECK3329,fusA;rpsG;rpsL,b3339;b3341;b3342,tufA;rpsG;rpsL
